Organism	Uniprot	Protein name	Secretion	CAZy	Enzyme type	Substrate details	H2O2 type	MEROPS	Bagasse1	Bagasse2	Bagasse3	Birch1	Birch2	Birch3	Spruce1	Spruce2	Spruce3	Cellulose1	Cellulose2	Cellulose3	Glucose1	Glucose2	Glucose3	Peptides	Unique peptides	Score	MS/MS count	Majority protein IDs	EC	GO
m.thermophila	G2QMB4	Carbohydrate esterase family 1 protein	Y	CE1	esterase	feruloyl esterase			3.33	3.45	2.70													6	6	323.31	241	tr|G2QMB4|G2QMB4_MYCTT	EC 3.2.1.55	
h.jecorina	G0RQX9	Predicted protein	N						0.41	0.97	0.17	0.51	0.18					-0.79						9	9	141.25	59	tr|G0RQX9|G0RQX9_HYPJQ		protein folding [GO:0006457]; response to stress [GO:0006950]
h.jecorina	G0RR33	Ribosomal protein L17	N						-1.02	-1.04	-1.40	-1.54	-1.03					-0.76						4	4	32.877	25	tr|G0RR33|G0RR33_HYPJQ		translation [GO:0006412]
p.chrysosporium	2762170282	acetyl xylan esterase	Y	CE1	esterase	feruloyl esterase		SC-S9	4.36	4.57	4.49	4.23	3.81	2.16		5.75	4.80	4.00	3.85		-1.27	-0.97		5	4	323.31	739	2762170282		
h.jecorina	G0RR49	Regulatory protein calmodulin	N									-0.89	-1.31	-0.98										3	3	96.494	17	tr|G0RR49|G0RR49_HYPJQ		
h.jecorina	G0RR72	40S ribosomal protein S1	N							-1.52	-2.05													4	4	26.224	11	tr|G0RR72|G0RR72_HYPJQ		translation [GO:0006412]
p.chrysosporium	2762167027	alpha/beta-Hydrolase	Y	CE1;CBM1	esterase	feruloyl esterase		SC-S9	0.69							1.95	1.67							5	4	67.285	135	2762167027		carbohydrate metabolic process
h.jecorina	G0RRC1	60s ribosomal protein rla2, P2	Y						0.43	0.72	0.96	1.07	1.47	0.49				-0.34	-1.26	-1.18				5	5	132.67	59	tr|G0RRC1|G0RRC1_HYPJQ		translational elongation [GO:0006414]
h.jecorina	G0RRE6	Adenosylhomocysteinase	N						0.07	0.54	0.09	-0.61	-0.68	-0.71				-0.48	-0.62					6	6	65.314	66	tr|G0RRE6|G0RRE6_HYPJQ	EC 3.3.1.1	one-carbon metabolic process [GO:0006730]; S-adenosylhomocysteine catabolic process [GO:0019510]
a.terreus	Q0C8V9	Probable dipeptidyl-peptidase 5	Y	CE10	esterase			SC-S9					1.01	-2.36	-1.08		0.16			-0.35				10	10	143.87	65	sp|Q0C8V9|DPP5_ASPTN	EC 3.4.14.-	
h.jecorina	G0RRH0	Proteinase T-like protein	Y					SB-S8	4.19	3.44	4.33	2.88	2.94	3.25	2.66	2.64	2.37							7	7	323.31	474	tr|G0RRH0|G0RRH0_HYPJQ		
a.terreus	Q0CUG8	Carboxylic ester hydrolase	Y	CE10	esterase				-1.41	-1.48	-1.13		-1.45	-1.74	-1.13	-2.07	-2.35	-2.02	-2.26	-1.03				13	13	95.64	105	tr|Q0CUG8|Q0CUG8_ASPTN	EC 3.1.1.-	
h.jecorina	G0RRW2	Predicted protein	N							-1.72	-2.00		-1.93											4	4	34.237	22	tr|G0RRW2|G0RRW2_HYPJQ		
a.terreus	Q0CZB3	Carboxylic ester hydrolase	Y	CE10	esterase								-2.98	-2.87										3	3	7.4352	8	tr|Q0CZB3|Q0CZB3_ASPTN	EC 3.1.1.-	
h.jecorina	G0RSG5	Alcohol dehydrogenase	N						0.64	1.06	1.85	2.04	3.04	0.99				0.65	-0.34	-0.64				11	11	163.78	110	tr|G0RSG5|G0RSG5_HYPJQ		
h.jecorina	G0RT69	Predicted protein	N							-2.52	-2.58													2	2	22.688	6	tr|G0RT69|G0RT69_HYPJQ		
h.jecorina	G0RFR3	Carboxylic ester hydrolase	Y	CE10	esterase													-2.19		-2.66				2	2	14.393	7	tr|G0RFR3|G0RFR3_HYPJQ	EC 3.1.1.-	
h.jecorina	G0RT90	Non-Catalytic module family expansin	Y															0.59	0.31	1.42				2	2	11.772	5	tr|G0RT90|G0RT90_HYPJQ		
h.jecorina	G0RTB6	Uncharacterized protein	N							-2.21	-2.28													2	2	13.003	4	tr|G0RTB6|G0RTB6_HYPJQ		translation [GO:0006412]
h.jecorina	G0RTC0	Cell wall protein	N						0.10	0.48	-0.94	0.97	1.28	-1.40	-0.98		-0.31	2.43	3.32	3.34				7	7	323.31	157	tr|G0RTC0|G0RTC0_HYPJQ		
h.jecorina	G0RTE6	Ketol-acid reductoisomerase, mitochondrial	N						0.04	0.06	-0.13	-0.95		-0.59				-0.82	-1.85					7	7	62.206	48	tr|G0RTE6|G0RTE6_HYPJQ	EC 1.1.1.86	isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]
h.jecorina	G0RTJ0	Predicted protein	N						-1.53	-1.65	-1.92	-1.56	-1.59											3	3	18.672	14	tr|G0RTJ0|G0RTJ0_HYPJQ		
m.thermophila	G2QBU0	Carboxylic ester hydrolase	Y	CE10	esterase						-2.41	-1.37	-0.93	-0.90										6	6	23.149	26	tr|G2QBU0|G2QBU0_MYCTT	EC 3.1.1.-	
h.jecorina	G0RU19	Malate dehydrogenase	N						0.02	0.32	-0.05	0.30	0.06					0.29						9	8	84.868	30	tr|G0RU19|G0RU19_HYPJQ	EC 1.1.1.37	carbohydrate metabolic process [GO:0005975]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]
h.jecorina	G0RV19	Uncharacterized protein	N						-1.27	-0.58	-0.59													7	7	66.463	30	tr|G0RV19|G0RV19_HYPJQ		
h.jecorina	G0RV47	Predicted protein	Y															-0.95	1.94	-0.07	0.42	0.01	1.10	7	7	277.37	61	tr|G0RV47|G0RV47_HYPJQ		
m.thermophila	G2QCB9	Carboxylic ester hydrolase	Y	CE10	esterase													-2.32	-2.44					5	5	12.823	14	tr|G2QCB9|G2QCB9_MYCTT	EC 3.1.1.-	
h.jecorina	G0RVK0	Predicted protein	Y					GA-G1										2.65	1.64	0.93	1.41			3	3	192.7	87	tr|G0RVK0|G0RVK0_HYPJQ		
m.thermophila	G2QFS5	Carboxylic ester hydrolase	Y	CE10	esterase				2.21	2.79	2.17	2.78	2.70	2.74	0.02	-0.25	0.48							13	13	230.74	315	tr|G2QFS5|G2QFS5_MYCTT	EC 3.1.1.-	
p.chrysosporium	2762160094	alpha/beta-hydrolase	Y	CE10	esterase			SC-S9	-3.68	-3.89		-4.29				-3.98								3	3	14.691	11	2762160094		
p.chrysosporium	2762164563	alpha/beta-hydrolase	Y	CE10	esterase			SC-S9	-0.21	-0.11	-0.43	-1.29			-1.04	1.08	1.16							10	10	106.58	101	2762164563		
p.chrysosporium	2762166201	carboxylesterase from carbohydrate esterase	Y	CE10	esterase			SC-S9	2.47	2.71	3.08	2.46	1.88	0.43	-1.89	1.66	1.83							15	15	192.71	538	2762166201		
h.jecorina	G0RVS5	Ribosomal protein L16, L13 family	N						-1.29	-1.03	-1.54	-1.21	-0.87					-1.30						4	4	28.016	12	tr|G0RVS5|G0RVS5_HYPJQ		translation [GO:0006412]
h.jecorina	G0RVV3	Amidase	N												-2.40	-2.19	-2.16	0.31	-0.63	0.34				8	8	131.54	53	tr|G0RVV3|G0RVV3_HYPJQ		
h.jecorina	G0RW36	Predicted protein	Y					SC-S28		-0.96	-0.25				0.69	-0.46	-0.48			-0.29				8	8	200.41	84	tr|G0RW36|G0RW36_HYPJQ		
p.chrysosporium	2762166294	carboxylesterase	Y	CE10	esterase			SC-S9								-2.86	-3.19							4	4	8.5334	10	2762166294		
h.jecorina	G0RX34	Predicted protein	N										-1.24	-2.35										5	5	33.034	19	tr|G0RX34|G0RX34_HYPJQ		
p.chrysosporium	2762170040	alpha/beta-hydrolase	Y	CE10	esterase			SC-S9	0.36	0.32	0.25	0.85	-0.18	-0.96		-1.99	-2.19							11	11	125.59	213	2762170040		
h.jecorina	G0RXC4	Translation elongation factor 1 beta	N						-2.25	-2.14	-3.05													2	2	15.429	8	tr|G0RXC4|G0RXC4_HYPJQ		
m.thermophila	G2QMH3	Carbohydrate esterase family 12 protein	Y	CE12	esterase	acetylmannan esterase			-1.68			-0.01	0.56	1.07										4	4	13.887	29	tr|G2QMH3|G2QMH3_MYCTT		
m.thermophila	G2QJR6	4-O-methyl-glucuronoyl methylesterase	Y	CE15	esterase	methyl esterase			4.12	3.96	3.53	4.06	3.82	3.23		-1.39								8	8	323.31	191	sp|G2QJR6|GCE2_MYCTT	EC 3.1.1.-	lignin catabolic process [GO:0046274]
p.chrysosporium	2762169052	Carbohydrate Esterase Family 15 protein	Y	CE15	esterase	methyl esterase		SC-S9	-0.23	-0.22	-0.78	-0.43	-0.56	-1.61		0.51	0.50							4	4	38.065	137	2762169052		
a.terreus	Q0C7R4	Uncharacterized protein	N	CE16	esterase	acetyl esterase				-0.02	-3.27				-3.64	-1.10	-1.03	-0.35	-2.47	-0.90				3	3	39.423	73	tr|Q0C7R4|Q0C7R4_ASPTN		
m.thermophila	G2QJ27	Acetylesterase	Y	CE16	esterase	acetyl esterase			1.53	1.66	1.56	2.58	1.60	2.25	0.65	0.95	1.22	1.13	1.14	1.04				6	6	323.31	245	sp|G2QJ27|AES1_MYCTT	EC 3.1.1.6	
p.chrysosporium	2762160128	Carbohydrate Esterase Family 16 protein	Y	CE16	esterase	acetyl esterase			-1.86	-2.32						-2.21								2	2	16.312	20	2762160128		
p.chrysosporium	2762163632	Carbohydrate Esterase Family 16 protein	Y	CE16;CBM1	esterase	acetyl esterase			0.49	-0.08		-0.26				2.29	0.82							3	3	283.28	76	2762163632		carbohydrate metabolic process
m.thermophila	G2PZJ6	FAD dependent oxidoreductase-like protein	Y						-1.58	-2.07	-1.37		-1.79	-2.83										6	6	47.122	28	tr|G2PZJ6|G2PZJ6_MYCTT		D-amino acid metabolic process [GO:0046416]
m.thermophila	G2PZM0	Uncharacterized protein	N						-0.88	-1.25														4	4	17.749	7	tr|G2PZM0|G2PZM0_MYCTT		intracellular protein transport [GO:0006886]
m.thermophila	G2PZQ3	Uncharacterized protein	N								-1.08		-1.89	-2.73										8	8	62.766	15	tr|G2PZQ3|G2PZQ3_MYCTT		
m.thermophila	G2PZU8	60S acidic ribosomal protein P0	N								-2.32		-2.40	-3.14										5	5	14.371	21	tr|G2PZU8|G2PZU8_MYCTT		ribosome biogenesis [GO:0042254]
m.thermophila	G2PZV9	Uncharacterized protein	N						-0.86	-1.05	-0.93	-1.46	-0.86	-1.19										7	7	54.794	32	tr|G2PZV9|G2PZV9_MYCTT		
m.thermophila	G2PZW5	Uncharacterized protein	N						0.85	0.62	0.99	0.50	1.42	0.98										15	15	168.29	99	tr|G2PZW5|G2PZW5_MYCTT		glycolytic process [GO:0006096]
m.thermophila	G2PZX2	Protein disulfide-isomerase	Y						1.77	0.36	1.65	0.89	2.33	0.36							-0.04	0.33	0.34	28	28	114	167	tr|G2PZX2|G2PZX2_MYCTT	EC 5.3.4.1	cell redox homeostasis [GO:0045454]
m.thermophila	G2Q025	40S ribosomal protein S4	N						-1.22	-1.46	-1.40		-0.90											7	7	30.856	30	tr|G2Q025|G2Q025_MYCTT		translation [GO:0006412]
m.thermophila	G2Q057	Uncharacterized protein	Y						1.37	1.62	1.05	0.17	-0.56	-0.03				-4.08	-3.61					9	9	202.23	105	tr|G2Q057|G2Q057_MYCTT		
m.thermophila	G2Q0H3	Uncharacterized protein	Y						-2.36	-2.56			-2.08	-2.20							1.15	0.77	0.27	2	2	39.849	41	tr|G2Q0H3|G2Q0H3_MYCTT		
m.thermophila	G2Q0S5	Protein transport protein Sec61 subunit beta	N																		-0.73	-0.81	-1.20	3	3	42.201	16	tr|G2Q0S5|G2Q0S5_MYCTT		intracellular protein transport [GO:0006886]
m.thermophila	G2Q0S9	Aldo/keto reductase-like protein	N						2.13	1.59	1.37	-0.78	0.85	-0.17										8	8	35.162	52	tr|G2Q0S9|G2Q0S9_MYCTT		
m.thermophila	G2Q0U8	Tubulin alpha chain	N						-0.79		-1.28													9	9	144.32	31	tr|G2Q0U8|G2Q0U8_MYCTT		microtubule-based process [GO:0007017]
a.terreus	Q0CDW9	Uncharacterized protein	Y	CE16;GH20	esterase	acetyl esterase			-1.38	0.39			-0.91	-1.25	-3.28		-0.60	-0.56	-0.98	-0.47				5	5	42.382	99	tr|Q0CDW9|Q0CDW9_ASPTN		carbohydrate metabolic process [GO:0005975]
m.thermophila	G2Q102	Uncharacterized protein	N						-0.87		-1.28													4	4	8.1941	11	tr|G2Q102|G2Q102_MYCTT		translation [GO:0006412]
m.thermophila	G2Q104	6-phosphogluconate dehydrogenase, decarboxylating	N						-0.51	-1.12	0.08	-0.83	0.19	-1.32							-1.10	-0.26	0.23	10	10	68.835	81	tr|G2Q104|G2Q104_MYCTT	EC 1.1.1.44	D-gluconate metabolic process [GO:0019521]; pentose-phosphate shunt [GO:0006098]
m.thermophila	G2Q129	Elongation factor 1-alpha	N						3.92	3.55	3.61	3.01	3.53	2.55							3.91		4.15	15	15	123.76	326	tr|G2Q129|G2Q129_MYCTT		
p.chrysosporium	2762167622	hypothetical protein	Y	CE2	esterase											-2.77	-2.25							2	2	9.5349	2	2762167622		
a.terreus	Q0CU37	Uncharacterized protein	Y	CE3	esterase	acetyl esterase			1.23	0.00	1.26		0.18	0.99	1.15	-1.22	-1.16	-1.48						4	4	298.34	152	tr|Q0CU37|Q0CU37_ASPTN		
m.thermophila	G2Q1R6	Uncharacterized protein	N						-1.54	-1.30	-1.68		-0.96	-2.19										12	12	45.209	44	tr|G2Q1R6|G2Q1R6_MYCTT		'de novo' cotranslational protein folding [GO:0051083]; cellular response to glucose starvation [GO:0042149]; cytoplasmic translation [GO:0002181]; regulation of translational fidelity [GO:0006450]; ribosomal subunit export from nucleus [GO:0000054]; rRNA processing [GO:0006364]; translational frameshifting [GO:0006452]; translational termination [GO:0006415]
m.thermophila	G2Q1T1	Uncharacterized protein	N																		-1.95	-1.39	-1.52	2	2	4.2631	5	tr|G2Q1T1|G2Q1T1_MYCTT		ATP synthesis coupled proton transport [GO:0015986]
m.thermophila	G2Q1W7	Uncharacterized protein	N																		0.54	0.70	0.51	6	6	28.202	32	tr|G2Q1W7|G2Q1W7_MYCTT		
m.thermophila	G2Q1Y5	Uncharacterized protein	N						-3.64		-2.63	-3.61	-2.45											5	5	15.576	17	tr|G2Q1Y5|G2Q1Y5_MYCTT		carbohydrate metabolic process [GO:0005975]
m.thermophila	G2Q200	Glucose-6-phosphate isomerase	N						-0.07	-0.87	-1.61													8	8	62.605	17	tr|G2Q200|G2Q200_MYCTT	EC 5.3.1.9	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; pentose-phosphate shunt [GO:0006098]
m.thermophila	G2Q201	Uncharacterized protein	N																		-0.99	-0.56	-1.10	4	4	24.157	9	tr|G2Q201|G2Q201_MYCTT		
m.thermophila	G2Q254	Peptidyl-prolyl cis-trans isomerase	N							-2.36	-1.79													2	2	3.7076	8	tr|G2Q254|G2Q254_MYCTT	EC 5.2.1.8	protein folding [GO:0006457]
m.thermophila	G2Q288	Uncharacterized protein	N																			-1.79	-1.85	2	2	7.3105	6	tr|G2Q288|G2Q288_MYCTT		
m.thermophila	G2Q2N0	Uncharacterized protein	Y	CE3	esterase	acetyl esterase					-2.32	-1.35	-0.65	-1.74										7	7	48.839	21	tr|G2Q2N0|G2Q2N0_MYCTT		
m.thermophila	G2Q2J6	Uncharacterized protein	N																		-1.38	-1.09	-1.62	6	6	19.253	8	tr|G2Q2J6|G2Q2J6_MYCTT		
m.thermophila	G2Q2K1	Uncharacterized protein	N						-3.04		-2.65		-2.04											2	2	9.7811	11	tr|G2Q2K1|G2Q2K1_MYCTT		
m.thermophila	G2Q3B6	Carbohydrate esterase family 3 protein	Y	CE3	esterase	acetyl esterase			1.70	2.04	1.37													7	7	109.99	71	tr|G2Q3B6|G2Q3B6_MYCTT		
m.thermophila	G2QGB0	Carbohydrate esterase family 3 protein	Y	CE3	esterase	acetyl esterase			1.78	2.08	1.41	1.85	1.18	1.22										3	3	53.71	90	tr|G2QGB0|G2QGB0_MYCTT		
m.thermophila	G2Q2Q4	Uncharacterized protein	N						0.20	0.06	0.14	-0.57	0.15	-0.72										10	8	69.164	66	tr|G2Q2Q4|G2Q2Q4_MYCTT		
m.thermophila	G2Q2S4	Uncharacterized protein	N							-2.35	-1.93													3	3	5.8302	14	tr|G2Q2S4|G2Q2S4_MYCTT		translation [GO:0006412]
m.thermophila	G2Q2T6	60S ribosomal protein L6	N						0.16	-0.16			-1.04											5	5	26.657	18	tr|G2Q2T6|G2Q2T6_MYCTT		translation [GO:0006412]
m.thermophila	G2Q2Z1	Uncharacterized protein	N									-3.16	-2.40											1	1	3.2357	2	tr|G2Q2Z1|G2Q2Z1_MYCTT		
m.thermophila	G2Q334	GTP-binding nuclear protein	N						-0.45	-1.09	-0.39	-1.11	-0.36	-0.69										6	6	11.296	31	tr|G2Q334|G2Q334_MYCTT		nucleocytoplasmic transport [GO:0006913]; protein transport [GO:0015031]
m.thermophila	G2QLY9	Carbohydrate esterase family 3 protein	Y	CE3	esterase	acetyl esterase										-3.75	-3.43							4	4	7.1791	6	tr|G2QLY9|G2QLY9_MYCTT		
m.thermophila	G2Q372	Uncharacterized protein	Y						-2.08		-1.39		-1.84											8	8	49.626	23	tr|G2Q372|G2Q372_MYCTT		protein folding [GO:0006457]
m.thermophila	G2QGD9	Carbohydrate esterase family 4 protein	Y	CE4	esterase				0.14	0.76	0.30	1.42	0.87	1.31										3	3	11.867	43	tr|G2QGD9|G2QGD9_MYCTT		carbohydrate metabolic process [GO:0005975]
m.thermophila	G2Q3A8	Uncharacterized protein	N						-0.52	-0.69	-0.64										-0.17	-0.17	-0.55	4	4	171.32	36	tr|G2Q3A8|G2Q3A8_MYCTT		translational elongation [GO:0006414]
a.terreus	Q0CW01	Probable cutinase 4	Y	CE5	esterase	acetyl esterase				-1.88	-2.91				-2.63									3	3	201.14	56	sp|Q0CW01|CUTI4_ASPTN;sp|Q0CNE3|CUTI3_ASPTN	EC 3.1.1.74	metabolic process [GO:0008152]
m.thermophila	G2Q3E1	Uncharacterized protein	N						-2.24		0.22		-1.94											11	11	128.89	26	tr|G2Q3E1|G2Q3E1_MYCTT		protein folding [GO:0006457]
m.thermophila	G2Q3G0	Uncharacterized protein	N						2.22	1.89	2.15	1.07	2.23	1.32										22	22	254.64	149	tr|G2Q3G0|G2Q3G0_MYCTT		
m.thermophila	G2Q3G9	Uncharacterized protein	Y						2.28	2.47	2.29	3.01	2.48	3.07	0.35	0.37	0.21	1.77	1.98	1.55				12	12	323.31	425	tr|G2Q3G9|G2Q3G9_MYCTT		
m.thermophila	G2Q3J4	Uncharacterized protein	N						-0.86	-1.25	-0.68	-1.91	-0.71	-0.94										8	8	33.093	46	tr|G2Q3J4|G2Q3J4_MYCTT		phosphate-containing compound metabolic process [GO:0006796]
m.thermophila	G2QJ94	Carbohydrate esterase family 5 protein	Y	CE5;CBM1	esterase	acetyl esterase			5.58	5.86	5.08	5.37	4.67	5.34	-0.14	-0.04	-0.06	0.43	1.24	1.07				3	3	323.31	423	tr|G2QJ94|G2QJ94_MYCTT		carbohydrate metabolic process [GO:0005975]
m.thermophila	G2Q3L4	Uncharacterized protein	N						-1.45		-1.92	-2.87	-1.13	-2.34										9	7	19.644	24	tr|G2Q3L4|G2Q3L4_MYCTT		
m.thermophila	G2Q3M9	Uncharacterized protein	N						-0.66	-0.79	-0.66		-0.52											4	4	21.222	33	tr|G2Q3M9|G2Q3M9_MYCTT		translation [GO:0006412]
m.thermophila	G2Q419	Uncharacterized protein	Y						0.50	0.46	-0.44		-1.11	-0.73	-1.49			0.13	-0.63	-1.26				8	8	111.5	51	tr|G2Q419|G2Q419_MYCTT		
m.thermophila	G2Q424	Acetyl-CoA C-acetyltransferase	N						-0.64				-0.91	-1.22										8	8	35.136	31	tr|G2Q424|G2Q424_MYCTT	EC 2.3.1.9	metabolic process [GO:0008152]
m.thermophila	G2Q456	Uncharacterized protein	N						-3.30												-2.08	-0.90	-0.76	4	4	6.1393	11	tr|G2Q456|G2Q456_MYCTT		translation [GO:0006412]
m.thermophila	G2Q483	Uncharacterized protein	N						-1.04	1.27		-2.30	-0.78											5	5	42.841	19	tr|G2Q483|G2Q483_MYCTT		carbohydrate derivative biosynthetic process [GO:1901137]
m.thermophila	G2Q493	Uncharacterized protein	Y										-2.05	-2.10		-4.27	-3.86	-1.46	-0.95	-1.06				2	2	64.169	38	tr|G2Q493|G2Q493_MYCTT		
m.thermophila	G2Q494	Uncharacterized protein	Y					SC-S28	0.06	-0.27		-0.37	-0.07	-0.14	-0.74	-0.47	-0.68	-1.04	0.07	1.45				13	13	207.38	132	tr|G2Q494|G2Q494_MYCTT		
m.thermophila	G2Q4F9	Uncharacterized protein	Y					AA-A1													-0.14		-0.96	2	2	38.967	8	tr|G2Q4F9|G2Q4F9_MYCTT		
m.thermophila	G2QLD0	Pectinesterase	Y	CE8	esterase	pectin				-2.43		0.81	0.01	0.52	-1.37	-1.04	-0.77							10	10	207.98	113	tr|G2QLD0|G2QLD0_MYCTT	EC 3.1.1.11	cell wall modification [GO:0042545]; pectin catabolic process [GO:0045490]
p.chrysosporium	2762168102	Carbohydrate Esterase Family 8 protein	Y	CE8	esterase	pectin		AA-A2								-0.45	-0.01							4	4	40.298	19	2762168102	EC 3.1.1.11	cell wall modification
p.chrysosporium	2762171406	Carbohydrate Esterase Family 8 protein	Y	CE8	esterase	pectin		AA-A2	-2.28			-2.62	-3.34			-3.18								3	3	7.4851	19	2762171406	EC 3.1.1.11	cell wall modification
h.jecorina	G0RD31	Glycoside hydrolase family 1	N	GH1	GH	cellulose			0.94	1.28	1.20		-0.06											8	8	74.797	64	tr|G0RD31|G0RD31_HYPJQ		carbohydrate metabolic process [GO:0005975]
m.thermophila	G2QD93	Glycoside hydrolase family 1 protein	N	GH1	GH	cellulose			-1.81	-2.20	-1.85		-0.82	-2.30										6	6	10.3	23	tr|G2QD93|G2QD93_MYCTT		carbohydrate metabolic process [GO:0005975]
m.thermophila	G2Q574	Rab GDP dissociation inhibitor	N						0.66	0.13	0.06	-0.93	-0.09	-0.94										10	10	131.69	33	tr|G2Q574|G2Q574_MYCTT		protein transport [GO:0015031]; small GTPase mediated signal transduction [GO:0007264]
m.thermophila	G2Q586	Eukaryotic translation initiation factor 5A	N						-1.28	-1.87	-1.03		-1.26	-2.16										4	4	6.1595	16	tr|G2Q586|G2Q586_MYCTT		positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]; translational frameshifting [GO:0006452]
m.thermophila	G2Q591	Uncharacterized protein	N																		-0.53	-0.37	-0.68	6	6	9.2777	7	tr|G2Q591|G2Q591_MYCTT		
a.terreus	Q0CBM8	Probable endo-1,4-beta-xylanase C (Xylanase C)	Y	GH10	GH	xylan			6.03	6.68	6.06	2.72	4.96	4.72	6.08	6.31	6.16	6.21	6.18	5.91				20	19	323.31	1856	sp|Q0CBM8|XYNC_ASPTN	EC 3.2.1.8	xylan catabolic process [GO:0045493]
a.terreus	Q0CGK2	Beta-xylanase	Y	GH10	GH	xylan			0.75	-0.12	0.96		-0.28	-0.22	0.63	-1.07	-0.97	-0.11	0.55	-0.01				9	9	281.35	195	tr|Q0CGK2|Q0CGK2_ASPTN	EC 3.2.1.8	polysaccharide catabolic process [GO:0000272]
m.thermophila	G2Q5U7	ATP synthase subunit alpha	N						1.08	0.58	1.42	0.44	1.85	0.85							-0.80	-1.05	0.35	20	20	195.74	154	tr|G2Q5U7|G2Q5U7_MYCTT		ATP synthesis coupled proton transport [GO:0015986]
a.terreus	Q0CZS5	Beta-xylanase	Y	GH10	GH	xylan			-0.63	0.61	-0.14		-0.09	-0.53	-0.50	-0.29	-0.39	-0.56	-0.51	-1.14				7	6	211.53	86	tr|Q0CZS5|Q0CZS5_ASPTN	EC 3.2.1.8	xylan catabolic process [GO:0045493]
m.thermophila	G2Q610	Uncharacterized protein	N						-1.69	-1.77	-2.01	-2.69	-1.71	-2.45										5	5	16.399	21	tr|G2Q610|G2Q610_MYCTT		translation [GO:0006412]
m.thermophila	G2Q624	Uncharacterized protein	N						-0.77		-0.78	-1.52	-0.26	-1.49										4	4	21.645	38	tr|G2Q624|G2Q624_MYCTT		cell redox homeostasis [GO:0045454]
m.thermophila	G2Q650	Uncharacterized protein	Y						-2.06		-2.04													2	2	52.386	7	tr|G2Q650|G2Q650_MYCTT		
h.jecorina	G0RA32	Endo-1,4-beta-xylanase 3	Y	GH10	GH	xylan			4.35	3.82	4.61	2.91	2.83	2.75	1.27	1.85	1.80		-0.54	-0.53				9	9	323.31	185	sp|G0RA32|XYN3_HYPJQ	EC 3.2.1.8	xylan catabolic process [GO:0045493]
m.thermophila	G2QG07	Beta-xylanase	Y	GH10	GH	xylan			-1.58	-0.87	-1.16	-1.71												5	5	15.899	25	tr|G2QG07|G2QG07_MYCTT	EC 3.2.1.8	polysaccharide catabolic process [GO:0000272]
m.thermophila	G2Q6B1	Sugar transporter	N						-0.41	-0.41	0.12	-0.87	0.40	-0.87										7	7	193.55	74	tr|G2Q6B1|G2Q6B1_MYCTT		carbohydrate transport [GO:0008643]
m.thermophila	G2Q6G9	Uncharacterized protein	N						0.13	-0.54	0.21	-0.38	0.46	-1.01								-0.51		8	8	72.479	113	tr|G2Q6G9|G2Q6G9_MYCTT		positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]; translational frameshifting [GO:0006452]
m.thermophila	G2Q6N7	Uncharacterized protein	N						-2.18	-2.04	-2.30													3	3	15.316	29	tr|G2Q6N7|G2Q6N7_MYCTT		protein folding [GO:0006457]
m.thermophila	G2Q714	Superoxide dismutase [Cu-Zn]	N						0.05	-0.28	0.85	-0.33	0.24	-0.23	-2.44	-2.05		-0.95	0.63	0.15	-0.11	1.07	0.77	8	8	124.08	143	tr|G2Q714|G2Q714_MYCTT	EC 1.15.1.1	age-dependent response to reactive oxygen species involved in chronological cell aging [GO:0001320]; cellular copper ion homeostasis [GO:0006878]; cellular zinc ion homeostasis [GO:0006882]; fungal-type cell wall organization [GO:0031505]; negative regulation of cellular respiration [GO:1901856]; positive regulation of sequence-specific DNA binding transcription factor activity [GO:0051091]; positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0036091]; protein stabilization [GO:0050821]
m.thermophila	G2Q716	Transaldolase	N						-0.42	-0.45	-0.52	-1.17	-0.23	-0.73							0.14	0.50	0.79	10	10	60.647	66	tr|G2Q716|G2Q716_MYCTT	EC 2.2.1.2	carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]
m.thermophila	G2QGN6	Beta-xylanase	Y	GH10	GH	xylan			1.14	1.39	1.32	1.37	1.72	1.36	-1.35	-2.11	-2.06	0.84	0.82	0.12				9	9	186.5	221	tr|G2QGN6|G2QGN6_MYCTT	EC 3.2.1.8	polysaccharide catabolic process [GO:0000272]
n.crassa	Q7S0Y0	Beta-xylanase	Y	GH10	GH	xylan			0.09	-0.90	0.07	3.10	2.17	2.87										10	10	323.31	107	tr|Q7S0Y0|Q7S0Y0_NEUCR	EC 3.2.1.8	xylan catabolic process [GO:0045493]
m.thermophila	G2Q7D0	Myo-inositol-1-phosphate synthase	N									-2.52	-0.56											5	5	70.754	8	tr|G2Q7D0|G2Q7D0_MYCTT		inositol biosynthetic process [GO:0006021]; phospholipid biosynthetic process [GO:0008654]
m.thermophila	G2Q7E8	Uncharacterized protein	N						-0.38	-0.41	-0.73	-0.76	-0.45	-0.57								0.11	0.03	8	8	50.646	61	tr|G2Q7E8|G2Q7E8_MYCTT		translation [GO:0006412]
m.thermophila	G2Q7K6	Uncharacterized protein	N						-1.89		-1.92													3	3	6.3342	23	tr|G2Q7K6|G2Q7K6_MYCTT		translation [GO:0006412]
